COORD_X,COORD_Y,M2_HABITA,M2_PARCEL,REFCAT,Dist_Playa,CVisual_m2,V_Bosque,V_Golf,V_Equipami,V_Mar,V_Matorral,V_RedVia,V_UTrad,V_Cultivo,V_UPlurif,V_UUnif,V_Mina,Tipos_pais,Tam_CVisus,V_TPaiDef,Tpaisaje_sin_Proximidad,Med_Vist_valor_final,SpParc_Cat,AreaMedZon,Eur_m2_Cat,Precio_Cat,Prec_pond
357725,4049979,28642,0,7801637UF5570S,1255.1,229384,0.341,0.000,0.000,89.055,9.106,0.040,0.000,0.130,0.119,1.209,0.000,6.000,2.000,2.000,2.000,2.0,848.0,315.0,675.9,212900.0,3339440.0
357805,4049542,2152,3562,7997425UF5479N,827.4,118812,0.000,0.000,0.000,98.594,0.203,0.000,0.000,0.000,0.182,1.021,0.000,2.000,2.000,4.000,4.000,3.0,481.0,630.0,544.6,343100.0,3113318.3
357504,4049170,2000,2300,7691460UF5479S,608.7,169204,1.408,0.012,0.000,74.959,18.359,0.003,0.000,0.207,0.681,4.372,0.000,6.000,2.000,2.000,2.000,2.0,1000.0,800.0,677.3,541800.0,1981806.8
359400,4049814,2826,0,9500807UF5590S,656.9,502733,0.427,0.001,0.000,87.531,9.353,0.012,0.003,0.491,0.201,1.747,0.235,6.000,4.000,2.000,2.000,3.0,5022.0,800.0,394.6,315700.0,1949640.5
357863,4049461,1330,0,8096307UF5489N,731.9,448317,0.170,0.000,0.000,95.256,3.356,0.000,0.000,0.002,0.269,0.947,0.000,2.000,4.000,4.000,4.000,4.0,509.0,1000.0,537.7,537700.0,1946874.1
360024,4049876,2150,3430,0101908UF6500S,580.6,224861,0.873,0.015,0.000,82.069,14.076,0.004,0.000,0.047,0.699,2.217,0.000,6.000,2.000,2.000,2.000,2.0,1461.0,900.0,423.4,381100.0,1819221.3
358863,4049156,1326,6200,8993503UF5489S,198.0,91468,0.051,0.000,0.000,96.404,2.277,0.001,0.000,0.022,0.024,1.220,0.000,1.000,2.000,5.000,5.000,3.5,1133.0,710.0,562.0,399000.0,1812702.3
358033,4050013,940,3864,8001802UF5580S,1186.3,113144,0.633,0.000,0.000,86.812,9.858,0.033,0.000,0.000,0.189,2.475,0.000,6.000,2.000,2.000,2.000,2.0,1057.0,1000.0,537.7,537700.0,1732821.7
357675,4049718,1300,0,7898402UF5479N,1035.6,472396,0.032,0.000,0.000,95.834,1.155,0.002,0.000,0.000,0.416,2.561,0.000,2.000,4.000,4.000,4.000,4.0,889.0,630.0,544.6,343100.0,1712890.1
357971,4050064,948,0,8002405UF5580S,1250.7,219433,0.310,0.000,0.000,93.511,5.019,0.015,0.000,0.000,0.217,0.929,0.000,2.000,2.000,4.000,4.000,3.0,874.0,1000.0,537.7,537700.0,1692659.2
359019,4050249,500,1000,9004412UF5590S,1166.1,769324,0.071,0.151,0.220,87.080,2.711,0.075,0.000,0.543,1.765,7.383,0.000,6.000,5.000,2.000,2.000,3.5,896.0,800.0,1133.4,906700.0,1624585.2
358886,4049462,1323,6500,9096309UF5499N,466.9,237998,0.000,0.000,0.000,99.625,0.000,0.000,0.000,0.000,0.032,0.343,0.000,2.000,2.000,4.000,4.000,3.0,1742.0,1120.0,345.8,387300.0,1471394.2
360256,4049898,1406,1406,0300503UF6500S,504.0,420791,2.539,0.106,0.000,72.344,21.578,0.037,0.029,0.044,0.710,2.257,0.355,4.000,3.000,1.800,2.000,2.4,1324.0,900.0,423.4,381100.0,1457549.8
358396,4049621,1135,3591,8498603UF5489N,763.4,397219,0.073,0.000,0.000,92.654,4.973,0.014,0.000,0.000,0.480,1.805,0.000,2.000,3.000,4.000,4.000,3.5,1444.0,800.0,512.5,410000.0,1332435.2
360299,4049910,1408,0,0400204UF6500S,499.2,316356,0.347,0.118,0.000,82.835,15.003,0.031,0.000,0.018,0.627,0.992,0.029,4.000,3.000,1.800,2.000,2.4,1535.0,900.0,423.4,381100.0,1170776.4
357767,4049815,859,1958,7801626UF5570S,1090.4,283463,0.342,0.000,0.000,93.305,6.127,0.001,0.000,0.000,0.000,0.224,0.000,2.000,3.000,4.000,4.000,3.5,610.0,630.0,544.6,343100.0,1162300.0
357944,4049618,550,5800,8098102UF5489N,835.3,167362,0.083,0.003,0.000,81.871,10.918,0.000,0.000,0.062,0.941,6.122,0.000,6.000,2.000,2.000,2.000,2.0,781.0,1000.0,537.7,537700.0,1148352.4
358033,4049948,680,1370,8000702UF5580S,1123.1,420184,0.183,0.000,0.000,93.354,3.750,0.011,0.000,0.000,0.396,2.307,0.000,2.000,3.000,4.000,4.000,3.5,1167.0,1000.0,537.7,537700.0,1134235.7
358348,4049802,948,3814,8400907UF5580S,942.4,607704,0.081,0.013,0.000,93.645,2.752,0.008,0.000,0.029,0.657,2.816,0.000,2.000,5.000,4.000,4.000,4.5,607.0,800.0,512.5,410000.0,1081953.0
359369,4049232,902,1000,9494706UF5499S,113.0,683489,0.238,0.008,0.000,88.020,9.078,0.036,0.005,0.322,0.313,1.687,0.292,4.000,5.000,1.800,2.000,3.4,1417.0,710.0,562.0,399000.0,1081953.0
359005,4049167,880,880,9193911UF5499S,148.7,184074,0.481,0.000,0.000,82.657,15.521,0.005,0.000,0.000,0.081,1.255,0.000,6.000,2.000,2.000,2.000,2.0,1027.0,710.0,562.0,399000.0,1075400.0
359335,4049456,615,6000,9496801UF5499N,335.1,35562,1.735,0.000,0.000,23.705,67.403,0.118,0.000,0.000,0.981,6.057,0.000,4.000,2.000,2.700,3.000,2.4,1911.0,710.0,562.0,399000.0,1073928.2
357726,4049794,759,1164,7800112UF5570S,1091.3,539618,0.174,0.000,0.000,95.364,3.271,0.007,0.000,0.022,0.259,0.902,0.000,2.000,4.000,4.000,4.000,4.0,333.0,315.0,675.9,212900.0,1072985.4
357919,4049463,554,2800,8096304UF5489N,708.5,660955,0.130,0.000,0.000,94.885,3.015,0.000,0.000,0.071,0.288,1.611,0.000,2.000,5.000,4.000,4.000,4.5,527.0,1000.0,537.7,537700.0,1067149.8
357807,4049895,689,1851,7801617UF5570S,1144.3,431593,0.185,0.000,0.000,94.464,4.219,0.005,0.000,0.000,0.174,0.953,0.000,2.000,3.000,4.000,4.000,3.5,387.0,0.0,0.0,1904300.5,1047550.0
357805,4049806,689,1851,7801653UF5570S,1065.0,583191,0.167,0.000,0.000,94.742,3.233,0.003,0.000,0.003,0.328,1.525,0.000,2.000,4.000,4.000,4.000,4.0,476.0,630.0,544.6,343100.0,1030094.4
358108,4049590,430,5700,8298401UF5489N,757.5,554840,0.139,0.000,0.000,96.845,1.076,0.009,0.000,0.066,0.364,1.501,0.000,2.000,4.000,4.000,4.000,4.0,2000.0,1000.0,537.7,537700.0,1015504.0
359183,4049681,850,5000,9398201UF5499N,580.7,447446,0.244,0.000,0.000,89.711,6.582,0.024,0.000,0.000,0.377,3.062,0.000,6.000,4.000,2.000,2.000,3.0,652.0,1120.0,345.8,387300.0,1001995.8
359321,4049377,650,2231,9496803UF5499N,265.5,477972,0.490,0.000,0.000,82.183,13.950,0.005,0.008,0.228,0.199,2.577,0.360,6.000,4.000,2.000,2.000,3.0,1205.0,710.0,562.0,399000.0,989632.4
357832,4049734,689,0,7898408UF5479N,987.9,690306,0.147,0.017,0.000,93.549,3.291,0.003,0.000,0.053,0.491,2.450,0.000,2.000,5.000,4.000,4.000,4.5,546.0,630.0,544.6,343100.0,977240.9
